id,friendable_id,friend_id,blocker_id,pending
1,2,1,,f
2,3,1,,f
3,4,1,,f
4,5,4,,f
5,5,1,,f
6,3,2,,f
7,6,4,,f
8,6,2,,f
9,6,3,,f
10,6,1,,f
11,7,2,,f
12,7,3,,f
13,7,4,,f
14,7,1,,f
15,7,6,,f
16,8,3,,f
17,8,1,,f
18,8,2,,f
19,8,4,,f
20,8,6,,f
21,20,2,,f
22,20,1,,f
23,20,4,,f
24,20,3,,f
25,20,6,,f
26,20,7,,f
27,20,8,,f
28,21,3,,f
29,1,21,,f
30,4,3,,f
31,21,6,,f
32,2,21,,f
33,4,2,,f
34,20,21,,f
35,21,46,,f
36,46,3,,f
37,3,47,,f
38,65,1,,f
39,65,2,,f
40,65,20,,f
41,65,6,,f
42,65,7,,f
43,65,3,,f
44,65,21,,f
45,65,4,,t
46,65,46,,t
47,65,47,,t
48,66,1,,f
49,66,2,,f
50,66,3,,f
51,66,7,,f
52,66,4,,t
53,66,8,,f
54,66,6,,f
55,66,21,,f
56,66,20,,f
57,66,47,,t
58,66,46,,t
59,66,65,,f
60,67,8,,f
61,67,1,,f
62,67,2,,f
63,67,3,,f
64,67,4,,t
65,67,6,,f
66,67,7,,f
67,67,66,,f
68,67,65,,f
69,67,47,,t
70,67,46,,t
71,67,21,,f
72,67,20,,f
73,71,20,,f
74,71,2,,f
75,72,67,,f
76,66,72,,t
77,3,82,,f
