id,title,body,kind,created_at,updated_at,list_pin_id,user_id
2,,Nah.,1,"2015-03-15 02:06:54.597311","2015-03-15 02:06:54.597311",9,1
5,,"",2,"2015-03-28 17:39:54.947897","2015-03-28 17:39:54.947897",10,5
6,,Claimed!,2,"2015-04-13 01:04:14.646178","2015-04-13 01:04:14.646178",25,2
7,,Claimed!,2,"2015-04-13 01:04:51.820327","2015-04-13 01:04:51.820327",14,2
8,,Claimed!,2,"2015-04-13 01:05:16.183920","2015-04-13 01:05:16.183920",1,2
9,,"",2,"2015-04-13 12:34:54.535338","2015-04-13 12:34:54.535338",21,3
10,,"I am always in favor of items exceeding $10,000 being posted.",1,"2015-04-13 12:36:24.618447","2015-04-13 12:36:24.618447",11,3
11,,"Anita got this...",2,"2015-04-13 13:48:38.382928","2015-04-13 13:48:38.382928",19,4
12,,"",2,"2015-04-13 13:49:20.692790","2015-04-13 13:49:20.692790",23,4
13,,"We are claiming this as of now!",2,"2015-05-03 18:03:47.709650","2015-05-03 18:03:47.709650",29,2
14,,"Claiming this!",2,"2015-05-03 18:04:22.084087","2015-05-03 18:04:22.084087",41,2
15,,"Judy: Claim",1,"2015-05-04 12:43:29.760358","2015-05-04 12:43:29.760358",39,6
16,,"Judy:  Got this one.",2,"2015-05-04 12:47:51.698764","2015-05-04 12:47:51.698764",38,6
17,,"Judy: T-Rex saved their necks!",2,"2015-05-04 12:49:29.434554","2015-05-04 12:49:29.434554",32,6
19,,"Got this",2,"2015-05-13 13:17:06.020298","2015-05-13 13:17:06.020298",37,1
20,,"Got this!",2,"2015-05-13 13:17:13.921943","2015-05-13 13:17:13.921943",31,1
21,,"But the name is ominous",1,"2015-05-13 13:17:24.653664","2015-05-13 13:17:24.653664",37,1
22,,"Mom and Dad have this one.",2,"2015-05-24 12:17:25.491879","2015-05-24 12:17:25.491879",52,6
23,,"Mom and Dad have this one.",2,"2015-05-24 12:18:28.494712","2015-05-24 12:18:28.494712",58,6
24,,"Mom and Dad have this one.",2,"2015-05-24 12:20:03.725568","2015-05-24 12:20:03.725568",60,6
25,,Getting,2,"2015-05-27 01:34:47.667214","2015-05-27 01:34:47.667214",59,1
26,,"Gommy and Bops have two of these.",2,"2015-06-05 14:54:21.734431","2015-06-05 14:54:21.734431",71,6
27,,"Gommy and Bops have this.",2,"2015-06-05 14:56:38.163585","2015-06-05 14:56:38.163585",73,6
28,,Getting!,2,"2015-06-09 22:09:57.266381","2015-06-09 22:09:57.266381",79,1
29,,Getting!,2,"2015-06-09 22:10:05.745059","2015-06-09 22:10:05.745059",78,1
30,,"Bought em!",2,"2015-06-11 20:32:47.067299","2015-06-11 20:32:47.067299",65,2
35,,"Gommy and Superbops have this one.",2,"2015-09-27 21:33:16.473609","2015-09-27 21:33:16.473609",100,6
36,,"G and B got vol. 2 of Tiny Titans",2,"2015-09-28 12:49:31.505184","2015-09-28 12:49:31.505184",99,6
37,,"We got ""LEGO Super Heroes Superman Vs Power Armor Lex""",2,"2015-10-02 20:32:19.151311","2015-10-02 20:32:19.151311",98,2
38,,"This review mentions that the game is very good, but that a) areas are locked unless you buy more stuff (not a surprise), and b) to get maximum enjoyment from the jokes and content, you need some awareness of the original movies and games (LOTR, Back to the Future, Portal, etc.). We may be better off with the superhero genre of Lego Marvel and Lego Batman. In January Lego Marvel Avengers will be our next must-buy!",1,"2015-10-03 17:59:49.765814","2015-10-03 17:59:49.765814",97,1
39,,"Link: http://www.ign.com/articles/2015/09/29/lego-dimensions-review",1,"2015-10-03 17:59:59.646582","2015-10-03 17:59:59.646582",97,1
40,,"Got it!",2,"2015-11-01 19:16:54.801626","2015-11-01 19:16:54.801626",104,2
41,,"I saw this mentioned by Alex Ross, gonna get it. ",2,"2015-11-01 20:40:54.963664","2015-11-01 20:40:54.963664",106,1
43,,"Claimy claim.",2,"2015-11-06 03:26:14.742722","2015-11-06 03:26:14.742722",108,3
45,,"I've purchased a $130 massage cert (for $105, on sale) but you should feel free to claim some or all of that amount and then reimburse me. And we will arrange for the gift to be from all of us.",1,"2015-11-30 21:16:51.280138","2015-11-30 21:16:51.280138",121,2
46,,"",2,"2015-12-01 16:19:40.813310","2015-12-01 16:19:40.813310",140,3
47,,"Got some butterfly princess slippers for her majesty.",2,"2015-12-01 16:39:36.059599","2015-12-01 16:39:36.059599",133,3
48,,"Gommy and Bops got her a Little Adventures Royal Pink Princess number plus headgear, etc.",1,"2015-12-04 14:57:38.063021","2015-12-04 14:57:38.063021",131,6
49,,"Gommy and Bops got her the first set of Bob Books.",2,"2015-12-04 14:59:31.295777","2015-12-04 14:59:31.295777",132,6
51,,"Mom and Dad have this one.",2,"2015-12-04 16:18:59.176518","2015-12-04 16:18:59.176518",141,6
52,,"Gommy and Bops got him some lift-the-flap books.",1,"2015-12-04 16:20:25.963301","2015-12-04 16:20:25.963301",135,6
53,,"Gommy and Bops got her an Angelina Ballerina DVD: ""Twirling Tales.""",1,"2015-12-04 16:38:23.090872","2015-12-04 16:38:23.090872",129,6
