id,title,description,created_at,updated_at,url,image_file_name,image_content_type,image_file_size,image_updated_at,image_remote_url,retina_dimensions
1,"Amazon.com: Schubert's Winter Journey: Anatomy of an Obsession eBook: Ian Bostridge: Kindle Store","Reviewed in The Economist, natch.","2015-03-02 03:36:33.878694","2015-03-02 03:36:33.878694",http://www.amazon.com/dp/B00MDHJIJM/ref=wl_it_dp_o_pC_nS_ttl?_encoding=UTF8&colid=1T63DINEDI1C1&coliid=I2I1UOKU5B5AUW,31lD8WQYShL._BO2_204_203_200_PIsitb-sticker-v3-big_TopRight_0_-55_SX278_SY278_PIkin4_BottomRight_1_22_AA300_SH20_OU01_.jpg,image/jpeg,9574,"2015-03-02 03:36:33.579361","http://ecx.images-amazon.com/images/I/31lD8WQYShL._BO2,204,203,200_PIsitb-sticker-v3-big,TopRight,0,-55_SX278_SY278_PIkin4,BottomRight,1,22_AA300_SH20_OU01_.jpg",
2,"Amazon.com: Schubert's Winter Journey: Anatomy of an Obsession eBook: Ian Bostridge: Kindle Store","Reviewed in The Economist, natch.","2015-03-02 03:36:39.286396","2015-03-02 03:36:39.286396",http://www.amazon.com/dp/B00MDHJIJM/ref=wl_it_dp_o_pC_nS_ttl?_encoding=UTF8&colid=1T63DINEDI1C1&coliid=I2I1UOKU5B5AUW,31lD8WQYShL._BO2_204_203_200_PIsitb-sticker-v3-big_TopRight_0_-55_SX278_SY278_PIkin4_BottomRight_1_22_AA300_SH20_OU01_.jpg,image/jpeg,9574,"2015-03-02 03:36:38.990666","http://ecx.images-amazon.com/images/I/31lD8WQYShL._BO2,204,203,200_PIsitb-sticker-v3-big,TopRight,0,-55_SX278_SY278_PIkin4,BottomRight,1,22_AA300_SH20_OU01_.jpg",
3,"Schubert's Winter Journey","Reviewed in The Economist, natch.","2015-03-02 03:38:33.448775","2015-03-02 15:30:17.119281",http://www.amazon.com/dp/B00MDHJIJM/ref=wl_it_dp_o_pC_nS_ttl?_encoding=UTF8&colid=1T63DINEDI1C1&coliid=I2I1UOKU5B5AUW,31lD8WQYShL._BO2_204_203_200_PIsitb-sticker-v3-big_TopRight_0_-55_SX278_SY278_PIkin4_BottomRight_1_22_AA300_SH20_OU01_.jpg,image/jpeg,9574,"2015-03-02 15:30:16.399478","http://ecx.images-amazon.com/images/I/31lD8WQYShL._BO2,204,203,200_PIsitb-sticker-v3-big,TopRight,0,-55_SX278_SY278_PIkin4,BottomRight,1,22_AA300_SH20_OU01_.jpg",
4,"Wide-angle lens ($699)","Heavens this is pricey. And yet I do want to talk wide-angle shots with our new Olympus mirrorless camera.","2015-03-02 03:41:43.431468","2015-03-10 01:48:47.558678",http://www.amazon.com/dp/B0035LBRM6/ref=wl_it_dp_o_pC_nS_ttl?_encoding=UTF8&colid=1T63DINEDI1C1&coliid=I3MU314VDVFYHJ,415vB3NpEuL._SY300_.jpg,image/jpeg,11597,"2015-03-10 01:48:47.217446",http://ecx.images-amazon.com/images/I/415vB3NpEuL._SY300_.jpg,"---
:image:
  :medium:
    :width: 135
    :height: 150
"
5,"Prime 25mm lens ($399)","Good prime lens for our Olympus mirrorless.","2015-03-02 03:42:44.617992","2015-03-10 01:49:26.835654",http://www.amazon.com/dp/B00HWMP0XG/ref=wl_it_dp_o_pd_S_ttl?_encoding=UTF8&colid=1T63DINEDI1C1&coliid=I28E1WAFB8SPQ&psc=1,51PQwmUa4ML._SX300_.jpg,image/jpeg,16981,"2015-03-10 01:49:26.506053",http://ecx.images-amazon.com/images/I/51PQwmUa4ML._SX300_.jpg,"---
:image:
  :medium:
    :width: 150
    :height: 144
"
6,"Absolute Music: The History of an Idea","I continue my quest to find good angles on music.","2015-03-02 03:44:31.453655","2015-03-02 15:30:58.747044",http://www.amazon.com/dp/0199343632/ref=wl_it_dp_o_pC_S_ttl?_encoding=UTF8&colid=1T63DINEDI1C1&coliid=IT08IEUN8U079,51llMHEGEcL._BO2_204_203_200_PIsitb-sticker-v3-big_TopRight_0_-55_SX278_SY278_PIkin4_BottomRight_1_22_AA300_SH20_OU01_.jpg,image/jpeg,17567,"2015-03-02 15:30:58.391936","http://ecx.images-amazon.com/images/I/51llMHEGEcL._BO2,204,203,200_PIsitb-sticker-v3-big,TopRight,0,-55_SX278_SY278_PIkin4,BottomRight,1,22_AA300_SH20_OU01_.jpg",
7,"Sky Lake Retreat Center","Only editing the description.","2015-03-02 13:08:57.742068","2015-03-02 13:10:38.703999",http://skylake.shambhala.org/,sky-lake.jpg,image/jpeg,19286,"2015-03-02 13:10:38.194359",http://shambhala.org/files/2012/03/sky-lake.jpg,
8,"Pasta alla Genovese","This looks tastee.","2015-03-02 13:11:45.386225","2015-03-02 13:11:45.386225",http://cooking.nytimes.com/recipes/1017238-pasta-alla-genovese,22mag-22eat.t_CA2-articleLarge.jpg,image/jpeg,114076,"2015-03-02 13:11:44.735764",http://graphics8.nytimes.com/images/2015/02/22/magazine/22eat3/22mag-22eat.t_CA2-articleLarge.jpg,
9,"Women's 3/4-sleeve Ponté Shift Dress from Lands' End","","2015-03-02 13:15:04.941266","2015-03-02 23:37:30.128916",http://www.landsend.com/products/womens-34-sleeve-ponte-shift-dress/id_280133,453814_AG15_FF_BLA,image/jpeg,8669,"2015-03-02 23:37:29.743952",http://s7.landsend.com/is/image/LandsEnd/453814_AG15_FF_BLA,
10,"foo! not my listl","","2015-03-02 13:17:00.857259","2015-03-02 13:17:00.857259","",,,,,"",
